,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,60.14285714285714,321,100,0,279,45.857142857142854,14.285714285714285,0.0,39.85714285714286
1,1,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,63.142857142857146,344,98,2,256,49.142857142857146,14.000000000000002,0.2857142857142857,36.57142857142857
2,2,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,58.857142857142854,314,98,2,286,44.857142857142854,14.000000000000002,0.2857142857142857,40.85714285714286
3,3,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,57.99999999999999,306,100,0,294,43.714285714285715,14.285714285714285,0.0,42.0
4,4,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,62.28571428571429,339,97,3,261,48.42857142857142,13.857142857142858,0.4285714285714286,37.285714285714285
5,5,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,61.285714285714285,330,99,1,270,47.14285714285714,14.142857142857142,0.14285714285714285,38.57142857142858
6,6,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,62.0,334,100,0,266,47.714285714285715,14.285714285714285,0.0,38.0
7,7,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,61.0,329,98,2,271,47.0,14.000000000000002,0.2857142857142857,38.714285714285715
8,8,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,60.42857142857143,325,98,2,275,46.42857142857143,14.000000000000002,0.2857142857142857,39.285714285714285
9,9,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,62.142857142857146,335,100,0,265,47.85714285714286,14.285714285714285,0.0,37.857142857142854
10,10,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,59.14285714285714,314,100,0,286,44.857142857142854,14.285714285714285,0.0,40.85714285714286
11,11,57.14285714285714,14.285714285714285,28.57142857142857,0.09142857142857143,64.28571428571429,350,100,0,250,50.0,14.285714285714285,0.0,35.714285714285715
