,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.77777777777779,510,100,0,290,56.666666666666664,11.11111111111111,0.0,32.22222222222222
1,1,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.33333333333333,508,98,2,292,56.44444444444444,10.888888888888888,0.2222222222222222,32.44444444444444
2,2,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,66.88888888888889,503,99,1,297,55.888888888888886,11.0,0.1111111111111111,33.0
3,3,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,64.66666666666666,484,98,2,316,53.77777777777778,10.888888888888888,0.2222222222222222,35.11111111111111
4,4,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,68.44444444444444,517,99,1,283,57.44444444444444,11.0,0.1111111111111111,31.444444444444446
5,5,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,66.55555555555556,499,100,0,301,55.44444444444444,11.11111111111111,0.0,33.44444444444444
6,6,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,66.44444444444444,498,100,0,302,55.333333333333336,11.11111111111111,0.0,33.55555555555556
7,7,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.88888888888889,511,100,0,289,56.777777777777786,11.11111111111111,0.0,32.111111111111114
8,8,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.88888888888889,513,98,2,287,56.99999999999999,10.888888888888888,0.2222222222222222,31.88888888888889
9,9,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,66.88888888888889,504,98,2,296,56.00000000000001,10.888888888888888,0.2222222222222222,32.88888888888889
10,10,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,65.22222222222223,487,100,0,313,54.11111111111111,11.11111111111111,0.0,34.77777777777778
11,11,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,68.33333333333333,516,99,1,284,57.333333333333336,11.0,0.1111111111111111,31.555555555555554
12,12,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,68.22222222222221,515,99,1,285,57.22222222222222,11.0,0.1111111111111111,31.666666666666664
13,13,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,65.44444444444444,489,100,0,311,54.333333333333336,11.11111111111111,0.0,34.55555555555556
14,14,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.55555555555556,511,97,3,289,56.777777777777786,10.777777777777779,0.33333333333333337,32.111111111111114
15,15,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,69.22222222222221,523,100,0,277,58.111111111111114,11.11111111111111,0.0,30.777777777777775
16,16,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,68.44444444444444,516,100,0,284,57.333333333333336,11.11111111111111,0.0,31.555555555555554
17,17,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,65.33333333333333,489,99,1,311,54.333333333333336,11.0,0.1111111111111111,34.55555555555556
18,18,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,69.66666666666667,529,98,2,271,58.77777777777777,10.888888888888888,0.2222222222222222,30.11111111111111
19,19,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.33333333333333,507,99,1,293,56.333333333333336,11.0,0.1111111111111111,32.55555555555556
20,20,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,67.55555555555556,510,98,2,290,56.666666666666664,10.888888888888888,0.2222222222222222,32.22222222222222
21,21,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,66.66666666666666,502,98,2,298,55.77777777777778,10.888888888888888,0.2222222222222222,33.111111111111114
22,22,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,66.66666666666666,502,98,2,298,55.77777777777778,10.888888888888888,0.2222222222222222,33.111111111111114
23,23,22.22222222222222,11.11111111111111,66.66666666666666,0.07111111111111111,65.88888888888889,494,99,1,306,54.888888888888886,11.0,0.1111111111111111,34.0
