,Unnamed: 0,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,0,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.49999999999999,246,99,1,254,41.0,16.5,0.1666666666666666,42.333333333333336
1,1,1,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.5,257,100,0,243,42.833333333333336,16.666666666666664,0.0,40.5
2,2,2,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.833333333333336,230,99,1,270,38.333333333333336,16.5,0.1666666666666666,45.0
3,3,3,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.00000000000001,236,100,0,264,39.33333333333333,16.666666666666664,0.0,44.0
4,4,4,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.66666666666666,229,99,1,271,38.16666666666666,16.5,0.1666666666666666,45.16666666666666
5,5,5,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.50000000000001,233,100,0,267,38.83333333333333,16.666666666666664,0.0,44.5
6,6,6,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,63.66666666666667,282,100,0,218,47.0,16.666666666666664,0.0,36.333333333333336
7,7,7,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.833333333333336,248,99,1,252,41.333333333333336,16.5,0.1666666666666666,42.0
8,8,8,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.66666666666666,236,98,2,264,39.33333333333333,16.333333333333332,0.3333333333333333,44.0
9,9,9,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.333333333333336,241,97,3,259,40.16666666666666,16.166666666666664,0.5,43.16666666666666
10,10,10,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,255,97,3,245,42.5,16.166666666666664,0.5,40.833333333333336
