,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.285714285714285,15,400,0,285,2.142857142857143,57.14285714285714,0.0,40.714285714285715
1,1,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.0,14,399,1,286,2.0,56.99999999999999,0.14285714285714285,40.85714285714286
2,2,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.57142857142858,11,399,1,289,1.5714285714285716,56.99999999999999,0.14285714285714285,41.285714285714285
3,3,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.42857142857143,17,399,1,283,2.4285714285714284,56.99999999999999,0.14285714285714285,40.42857142857143
4,4,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.0,14,399,1,286,2.0,56.99999999999999,0.14285714285714285,40.85714285714286
5,5,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.42857142857143,9,400,0,291,1.2857142857142856,57.14285714285714,0.0,41.57142857142857
6,6,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.57142857142858,11,399,1,289,1.5714285714285716,56.99999999999999,0.14285714285714285,41.285714285714285
7,7,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.14285714285714,7,400,0,293,1.0,57.14285714285714,0.0,41.85714285714286
8,8,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.42857142857143,9,400,0,291,1.2857142857142856,57.14285714285714,0.0,41.57142857142857
9,9,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.71428571428572,18,400,0,282,2.571428571428571,57.14285714285714,0.0,40.285714285714285
10,10,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.42857142857143,9,400,0,291,1.2857142857142856,57.14285714285714,0.0,41.57142857142857
11,11,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.14285714285714,7,400,0,293,1.0,57.14285714285714,0.0,41.85714285714286
12,12,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.285714285714285,15,400,0,285,2.142857142857143,57.14285714285714,0.0,40.714285714285715
13,13,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.14285714285714,14,400,0,286,2.0,57.14285714285714,0.0,40.85714285714286
14,14,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.14285714285714,7,400,0,293,1.0,57.14285714285714,0.0,41.85714285714286
15,15,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.57142857142858,10,400,0,290,1.4285714285714286,57.14285714285714,0.0,41.42857142857143
16,16,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.57142857142858,11,399,1,289,1.5714285714285716,56.99999999999999,0.14285714285714285,41.285714285714285
17,17,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.285714285714285,8,400,0,292,1.1428571428571428,57.14285714285714,0.0,41.714285714285715
18,18,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.285714285714285,15,400,0,285,2.142857142857143,57.14285714285714,0.0,40.714285714285715
19,19,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.71428571428572,20,398,2,280,2.857142857142857,56.85714285714286,0.2857142857142857,40.0
20,20,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,57.85714285714286,5,400,0,295,0.7142857142857143,57.14285714285714,0.0,42.142857142857146
21,21,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.0,13,400,0,287,1.8571428571428572,57.14285714285714,0.0,41.0
22,22,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,59.42857142857143,16,400,0,284,2.2857142857142856,57.14285714285714,0.0,40.57142857142857
23,23,14.285714285714285,57.14285714285714,28.57142857142857,0.09142857142857143,58.14285714285714,7,400,0,293,1.0,57.14285714285714,0.0,41.85714285714286
