,Unnamed: 0,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,0,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.5,16,299,1,284,2.666666666666667,49.833333333333336,0.1666666666666666,47.333333333333336
1,1,1,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.0,18,300,0,282,3.0,50.0,0.0,47.0
2,2,2,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.333333333333336,20,300,0,280,3.333333333333333,50.0,0.0,46.66666666666666
3,3,3,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.0,25,299,1,275,4.166666666666666,49.833333333333336,0.1666666666666666,45.83333333333333
4,4,4,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.833333333333336,23,300,0,277,3.833333333333333,50.0,0.0,46.16666666666666
5,5,5,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.5,16,299,1,284,2.666666666666667,49.833333333333336,0.1666666666666666,47.333333333333336
6,6,6,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.16666666666666,25,300,0,275,4.166666666666666,50.0,0.0,45.83333333333333
7,7,7,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.16666666666666,19,300,0,281,3.166666666666667,50.0,0.0,46.833333333333336
8,8,8,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.0,13,299,1,287,2.166666666666667,49.833333333333336,0.1666666666666666,47.833333333333336
9,9,9,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.5,21,300,0,279,3.5000000000000004,50.0,0.0,46.5
10,10,10,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.83333333333333,17,300,0,283,2.833333333333333,50.0,0.0,47.16666666666667
11,11,11,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.66666666666666,29,299,1,271,4.833333333333333,49.833333333333336,0.1666666666666666,45.16666666666666
12,12,12,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.83333333333333,17,300,0,283,2.833333333333333,50.0,0.0,47.16666666666667
13,13,13,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.333333333333336,21,299,1,279,3.5000000000000004,49.833333333333336,0.1666666666666666,46.5
14,14,14,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.16666666666666,19,300,0,281,3.166666666666667,50.0,0.0,46.833333333333336
15,15,15,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.33333333333333,15,299,1,285,2.5,49.833333333333336,0.1666666666666666,47.5
16,16,16,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.833333333333336,23,300,0,277,3.833333333333333,50.0,0.0,46.16666666666666
17,17,17,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,55.50000000000001,33,300,0,267,5.5,50.0,0.0,44.5
